Artist,Song,Comment
Thisara Weerasinghe,Ansathu Oba,❤❤🏵️❤ great ❤
Thisara Weerasinghe,Ansathu Oba,🤛👍 superb
Thisara Weerasinghe,Ansathu Oba,Superb
Thisara Weerasinghe,Ansathu Oba,So beautiful. A great song after a long time
Thisara Weerasinghe,Ansathu Oba,Mind blowing voice😍👌
Thisara Weerasinghe,Ansathu Oba,Wow!!! Beautiful
Thisara Weerasinghe,Ansathu Oba,What is this...sound odd...best stupid song in the world🙂😭😭😡😡😡😡🤢🤢🤢🤢🤢🤢🤢
Thisara Weerasinghe,Ansathu Oba,",,, patta............"
Thisara Weerasinghe,Ansathu Oba,Wow..💖💖💖
Thisara Weerasinghe,Ansathu Oba,"Instead of living in a song, try to enjoy it"
Thisara Weerasinghe,Ansathu Oba,This song is amazing
Thisara Weerasinghe,Ansathu Oba,hit deep ❤️💯
Thisara Weerasinghe,Ansathu Oba,one chapter of life is within one vision ❤💥⚡
Thisara Weerasinghe,Ansathu Oba,Wow
Thisara Weerasinghe,Ansathu Oba,Super 💓
Thisara Weerasinghe,Ansathu Oba,Best one... 😍😊
Thisara Weerasinghe,Ansathu Oba,Wow
Thisara Weerasinghe,Ansathu Oba,Addicted ❤
Thisara Weerasinghe,Ansathu Oba,Solid work❤️👌🏻
Thisara Weerasinghe,Ansathu Oba,Amazing😍🌺
Thisara Weerasinghe,Ansathu Oba,Acting 🔥🔥💛
Thisara Weerasinghe,Ansathu Oba,No word.....go ahead 🤟💓
Thisara Weerasinghe,Ansathu Oba,THIS IS A TIME MACHINE...
Thisara Weerasinghe,Ansathu Oba,Nice single take 👍👍.
Thisara Weerasinghe,Ansathu Oba,Superb ❤👍
Thisara Weerasinghe,Ansathu Oba,Wow
Thisara Weerasinghe,Ansathu Oba,*Official
Thisara Weerasinghe,Ansathu Oba,Very nice
Thisara Weerasinghe,Ansathu Oba,Soulful voice ❤️❤️
Thisara Weerasinghe,Ansathu Oba,Love this creation .. keep it up 💙
Thisara Weerasinghe,Ansathu Oba,Perfect !
Thisara Weerasinghe,Ansathu Oba,Nice
